Size,Data Type,Time
100,char,0.000001400
1000,char,0.000003700
10000,char,0.000028400
100000,char,0.000323900
1000000,char,0.002857300
10000000,char,0.029359700
100000000,char,0.284895100
100,short,0.000001200
1000,short,0.000003700
10000,short,0.000029000
100000,short,0.000281300
1000000,short,0.002900400
10000000,short,0.029605600
100000000,short,0.291572000
100,int,0.000001100
1000,int,0.000003800
10000,int,0.000029200
100000,int,0.000281900
1000000,int,0.003064900
10000000,int,0.028389100
100000000,int,0.288296800
100,float,0.000001100
1000,float,0.000004000
10000,float,0.000029400
100000,float,0.000321900
1000000,float,0.003112700
10000000,float,0.029895700
100000000,float,0.286198900
100,double,0.000001200
1000,double,0.000003800
10000,double,0.000038800
100000,double,0.000284200
1000000,double,0.002886600
10000000,double,0.028538200
100000000,double,0.284738100
