Size,Data Type,Time
100,char,0.000001200
1000,char,0.000002400
10000,char,0.000024200
100000,char,0.000183800
1000000,char,0.001796900
10000000,char,0.018219900
100000000,char,0.179837300
100,short,0.000000900
1000,short,0.000002700
10000,short,0.000023900
100000,short,0.000185400
1000000,short,0.001868900
10000000,short,0.018542100
100000000,short,0.189498400
100,int,0.000001000
1000,int,0.000002700
10000,int,0.000023200
100000,int,0.000198600
1000000,int,0.001889400
10000000,int,0.018549400
100000000,int,0.187422700
100,float,0.000001000
1000,float,0.000003300
10000,float,0.000019500
100000,float,0.000185700
1000000,float,0.001880000
10000000,float,0.018389000
100000000,float,0.181277400
100,double,0.000001000
1000,double,0.000002400
10000,double,0.000019300
100000,double,0.000173200
1000000,double,0.001826800
10000000,double,0.018056800
100000000,double,0.183947000
